Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN
1,NEW,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast - Golden",11,1,(x9),19162,18945,0.194,3,1,2,1,28,11,61,2,8,2,8,1,,13,1,8,,2,,12,4,,,6,3,5,82,1,15,6,2,14,2,1,1,,1,,,28,,,,,,6,,,,,,,,,63,,,53,,21
2,=,Alex Warren - Ordinary,181,1,(x48),16325,234,2.27,1,2,1,2,,5,6,1,4,4,2,,117,1,9,7,,,,3,1,4,,3,,8,80,,,3,54,6,,,,,,,2,,,,166,,,2,,,,,,,,2,6,49,7,1,1,
3,=,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast - Soda Pop",47,3,(x4),10992,-876,0.383,14,12,24,6,113,,,12,127,11,,18,,75,33,,,4,,69,6,,,30,6,191,,6,,4,3,,,2,9,,,,,,11,,,,99,,,,,,,,99,100,,,,,,52
4,=,Ed Sheeran - Sapphire,62,1,(x2),10789,-641,0.728,,4,3,4,,13,13,51,3,,56,,19,8,,3,,,,18,,34,,107,,1,,,23,2,,,,,,,,,,89,,,,,,,,,,,,,,94,,,,,,
5,=,ROSÉ & Bruno Mars - APT.,293,1,(x141),10292,-489,5.156,54,21,16,52,83,45,40,15,28,39,13,67,,32,150,5,,,36,,,17,,68,13,,5,,21,36,,15,,36,,,22,55,6,,7,,,,,,,,,,,,,6,,,,77,,
6,169,Marc Rebillet - Your New Morning Alarm,72,4,,9957,8869,0.307,2,7,56,3,,19,12,3,,,,,,,,1,,,,181,,103,,1,,16,,196,3,1,,2,1,,,,,,19,,,,5,,,4,13,,,,,,,,20,,94,,,
7,3,Chappell Roan - The Subway,6,3,(x3),9808,1118,0.071,7,3,108,17,,29,,6,95,16,84,37,,43,12,12,,,,,,,,32,,11,,,,12,14,18,,,,,2,44,31,,,,148,,1,,,,,,,,,,73,,,,,
8,-2,BLACKPINK - JUMP,27,1,(x5),9502,-556,0.342,89,76,22,63,34,,7,49,,,5,4,,85,8,40,,12,116,,,,,,5,,,5,,11,28,,7,4,4,,,,52,,,,154,,,,,,24,,,,,,,,,,,24
9,-1,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast - What It Sounds Like",13,8,,9455,-28,0.1,10,11,8,8,,37,,11,53,,103,30,,,51,,,149,,,10,,,,11,,,11,70,,21,59,23,11,54,,,67,,,,,,,,,,,,,,,,,,,,55,,148
10,-3,Lola Young - Messy,260,3,(x25),9029,-850,3.035,83,9,4,34,,16,9,30,7,,3,,,37,,20,,,,,,12,,92,,,83,,20,,,34,,,,,,,,,10,,,,,,,,,,,,,,,,,54,,
11,-2,Ed Sheeran - Azizam,125,3,(x4),8250,-520,1.404,,13,6,22,,14,15,52,2,103,10,,,70,,18,,,,,,181,,39,,27,,,,47,,,,,,,,,,,,,,69,,,,,,,,,,86,,64,,2,,
12,=,Lady Gaga & Bruno Mars - Die With A Smile,356,1,(x39),8238,480,5.75,28,28,26,29,162,,,20,87,14,,21,,,5,,,155,39,,,46,,,48,41,,24,,,13,,57,20,82,,3,,,,,,,,,,,,,,,,,96,,,,,,42
13,6,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast - Your Idol",46,9,,7971,960,0.292,19,24,59,20,,39,,27,156,9,21,158,,167,61,57,,,,,14,,,64,12,200,,8,,,19,,,18,48,,17,,,,,,,,,,,,,,,,,,,,,,,
14,2,"Ozzy Osbourne - Mama, I'm Coming Home",25,1,(x2),7925,685,0.248,6,25,49,15,,,,7,109,43,168,,66,51,46,,,,,,,24,,12,,,1,,7,5,,50,74,,,,,,,,1,,,,,,,,,,,,,,,,,,,
15,-2,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast - Free",47,13,,7601,125,0.259,22,27,34,27,,,,28,,,37,13,,97,34,,,16,,,12,,,,16,,,,,,6,,,31,19,,,,,,,,,,,,,,,,,,,,,,,,,
