Year,Total_Foreign_Born,Region_Reported_Total,Europe,Asia,Africa,Oceania,Latin_America,Northern_America,Region_Not_Reported
1850,2244602,2202625,2031867,1135,551,588,20773,147711,41977
1860,4138697,4134809,3807062,36796,526,2140,38315,249970,3888
1870,5567229,5563637,4941049,64565,2657,4028,57871,493467,3592
1880,6679943,6675875,5751823,107630,2204,6859,90073,717286,4068
1890,9249547,9243535,8030347,113383,2207,9353,107307,980938,6012
1900,10341276,10330534,8881548,120248,2538,8820,137458,1179922,10742
1910,13515886,13506272,11810115,191484,3992,11450,279514,1209717,9614
1920,13920692,13911767,11916048,237950,16126,14626,588843,1138174,8925
1930,14204149,14197553,11784010,275665,18326,17343,791840,1310369,6596
1940,1,1,1,1,1,1,1,1,1
1950,1,1,1,1,1,1,1,1,1
1960,9738091,9678201,7256311,490996,35355,34730,908309,952500,59890
1970,9619302,9303570,5740891,824887,80143,41258,1803970,812421,315732
1980,14079906,13192563,5149572,2539777,199723,77577,4372487,853427,887343
1990,19767316,18959158,4350403,4979037,363819,104145,8407837,753917,808158
